"Keyword","Type","Volume","KD","Cluster","Article Angle","Priority","Content Target","Status"
"best gifts for swimmers","Commercial","260","3","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for bourbon lovers","Commercial","1900","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for knitters","Commercial","1900","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"bless us oh lord for these thy gifts","Informational","720","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for the fishermen","Informational, Commercial","720","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for your doctor","Commercial","720","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"money gifts for bat mitzvah","Informational","720","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for gun enthusiast","Commercial","480","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for a guitarist","Commercial","480","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for truck drivers","Informational, Commercial","390","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best whiskeys for a gift","Commercial","390","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for bbq lovers","Commercial","390","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for carpenters","Commercial","390","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for yoga enthusiasts","Commercial","390","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"bbq gifts for guys","Commercial","320","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for realtors","Commercial","320","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for a quilter","Commercial","320","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for adhd adults","Informational","320","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for bowlers","Commercial","320","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"grilling gifts for dads","Commercial","320","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for boaters","Commercial","260","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best japanese sake for gift","Commercial","260","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"bulk mothers day gifts for church","Informational","260","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"dorky gifts for guys","Informational","260","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for surfers","Commercial","260","4","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for swimmers","Commercial","1000","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for grillers","Commercial","880","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for surfers","Commercial","880","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for divers","Commercial","590","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for sewers","Commercial","590","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for godchildren","Informational","480","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for tequila lovers","Informational, Commercial","480","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"personalized gifts for nurses","Informational, Commercial","480","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for a farm","Commercial","390","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for chemo patients female","Informational","390","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for embroiderers","Commercial","390","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for pool players","Commercial","390","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for triathletes","Commercial","390","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"luxury gifts for wine lovers","Informational, Commercial","390","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"summer institute for the gifted","Informational","390","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for autistic teens","Informational, Commercial","320","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for violin players","Informational, Commercial","320","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"horsey gifts for ladies","Commercial","320","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"personalized gifts for boss","Commercial","320","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"unique gifts for a gardener","Commercial","320","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"awesome gifts for coffee lovers","Informational, Commercial","260","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"bulk fathers day gifts for church","Commercial","260","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"christian gifts for mothers day","Commercial","260","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"company gift ideas for clients","Informational","260","5","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for the climber","Informational, Commercial","1600","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for bourbon","Commercial","1300","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for quilters","Commercial","1300","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for seniors","Informational","1000","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for gun lovers","Commercial","1000","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for sourdough bakers","Commercial","1000","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for farmers","Commercial","880","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for architects","Commercial","880","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for coffee lover","Commercial","720","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for fisherman","Commercial","590","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for skiers","Commercial","590","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift box for wrist watch","Commercial","480","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for a bird watcher","Commercial","480","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for a hunter","Informational","480","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for ballet dancers","Commercial","480","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for nursing assistant week","Commercial","480","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"awesome gifts for photographers","Informational, Commercial","390","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for griller","Commercial","390","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for pickleball lovers","Commercial","390","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for the summer","Informational","390","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"luxury gifts for nurses","Commercial","390","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"walking gifts for walkers","Commercial","390","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"creative gifts for creative people","Commercial","320","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for gun lover","Commercial","320","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for a gardening mom","Commercial","320","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for crocheter","Informational","320","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for electrical engineers","Commercial","320","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for environmentalists","Commercial","320","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for gun enthusiasts","Commercial","320","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for healthcare workers","Commercial","320","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for people recovering from surgery","Commercial","320","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for space lovers","Commercial","320","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for watercolor artists","Commercial","320","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for cops","Commercial","260","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best liquor gift for a man","Commercial","260","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for blind person","Commercial","260","6","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for the older woman","Commercial","1600","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for climbers","Commercial","1300","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for lawyers","Informational","1300","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for coffee lovers","Commercial","1000","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for scientists","Commercial","1000","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"ideas for doctors gifts","Informational","880","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for catholic confirmation sponsor","Commercial","720","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for autistic adults","Commercial","720","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift card for father","Commercial","590","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for lacrosse players","Informational","590","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for rv owners","Commercial","590","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for twins","Commercial","590","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for a guys car","Informational","480","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for homesteaders","Commercial","480","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for record lovers","Commercial","480","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for someone recovering from surgery","Commercial","480","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"wellness gifts for employees","Informational","480","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best easter gifts for preschoolers","Commercial","390","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift baskets for nurses","Informational","390","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for summer","Informational","390","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"bourbon for a gift","Informational, Commercial","320","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"coupons for wine and country gift basket","Informational","320","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift codes for whiteout survival","Informational","320","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for beer drinkers","Commercial","320","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for contractors","Commercial","320","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for the dancer","Commercial","320","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for vinyl enthusiasts","Commercial","320","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for yoga","Commercial","320","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for yogis","Commercial","320","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"perfect gift for a photographer","Commercial","320","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"welcome gifts for new employees","Commercial","320","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for parent in laws","Commercial","260","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"class gifts for end of year","Commercial","260","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift certificates for wine","Informational, Commercial","260","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for physical therapist","Commercial","260","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for fishing","Commercial","260","7","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for seniors","Commercial","1900","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for doctors","Commercial","1300","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for bourbon drinkers","Commercial","1000","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for welders","Commercial","1000","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for pt","Commercial","880","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for fishermen","Commercial","880","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for artists","Informational","720","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for crafters","Informational","720","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for horse lovers","Informational","720","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for construction workers","Commercial","720","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for retired dad","Commercial","590","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for fishing","Commercial","590","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for visually impaired","Commercial","590","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"monetary gift for bat mitzvah","Informational","590","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"games for gifts","Commercial","480","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift baskets for halloween","Transactional","480","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for horse lovers","Commercial","480","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for my doctor","Commercial","480","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for a nursing student","Commercial","480","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for beer connoisseurs","Commercial","480","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for godparents","Commercial","480","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for nurses week","Commercial","480","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for scientist","Commercial","480","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for watch lovers","Commercial","480","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"$100 gift ideas for employees","Commercial","390","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gift for expecting mom","Commercial","390","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for a vegan","Informational","390","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for college guys","Commercial","390","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for horror fans","Commercial","390","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for horses","Informational","390","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for officers","Commercial","390","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for scuba divers","Commercial","390","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for wrestlers","Commercial","390","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for police officers","Commercial","320","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"closing gifts for sellers","Informational, Commercial","320","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"cool gifts for inlaws","Commercial","320","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"fishing gifts for daddy","Informational, Commercial","320","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for designers","Commercial","320","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for cyclists","Commercial","320","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for a fisherman","Commercial","320","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for harry potter","Commercial","320","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"prayer for the 7 gifts of the holy spirit","Informational","320","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"unique gifts for hunters","Commercial","320","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gift for artist girl","Commercial","260","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for a fisherman","Commercial","260","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for real estate agents","Commercial","260","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"christian gifts for a man","Informational, Commercial","260","8","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for 3 year olds","Commercial","3600","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for musicians","Commercial","1900","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for horse lovers","Commercial","1600","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for nurses","Commercial","1300","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"cool gifts for pregnant women","Commercial","1300","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for fisherman","Commercial","1300","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for a student nurse","Commercial","1000","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for law enforcement officers","Commercial","880","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for people with dementia","Informational","880","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for yoga lovers","Informational, Commercial","880","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift certificates for guys","Informational","720","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for a crocheter","Informational","720","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for guitarist","Commercial","720","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for bourbon enthusiasts","Commercial","590","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for military men","Commercial","590","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for the boat","Commercial","590","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for the grill","Commercial","590","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"inexpensive gifts for senior citizens","Informational","590","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for police officers","Informational","480","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for elf on the shelf","Commercial","480","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for high school grad","Commercial","480","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for music teachers","Commercial","480","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"good gifts for a pregnant woman","Commercial","480","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for skiers","Commercial","390","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift basket for family","Transactional","390","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift cards for females","Informational, Commercial","390","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for florida","Informational, Commercial","390","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for mechanical engineers","Commercial","390","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"great gifts for seniors","Commercial","390","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"thank you gift for realtor","Commercial","390","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"unique gifts for bird lovers","Commercial","390","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"xmas gifts for the in laws","Informational","390","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for knitters","Commercial","320","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for fisherman who has everything","Commercial","320","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for physical therapists","Commercial","320","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for a doctor","Informational, Commercial","320","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for equestrian riders","Commercial","320","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for fisherman who has everything","Commercial","320","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for grilling fathers","Commercial","320","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for leaders","Commercial","320","9","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
